year,category,occupation,count_all,avg_salary
1960,"Building and Grounds Cleaning and Maintenance","Maids and Housekeeping Cleaners",1049620,9951.90546073458
1960,"Production","Other production workers including semiconductor processors and cooling and freezing equipment operators",6584400,22687.36431220555
1960,"Social Service","Childcare Workers",554760,3152.913638836501
1960,"Food Preparation and Serving","Food Preparation Workers",546840,8108.497638400704
1960,"Transportation and Material Moving","Driver/Sales Workers and Truck Drivers",2354060,28910.863070176183
1960,"Social Service","Licensed Practical and Licensed Vocational Nurses",352560,11268.92484965392
1960,"Education, Training, and Library","Elementary and Middle School Teachers",1339580,24139.868982767373
1960,"Production","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",78720,13836.084015247776
1960,"Production","Assemblers and Fabricators, nec",943160,20452.957171348553
1960,"Food Preparation and Serving","Waiters and Waitresses",1818160,6087.069656030477
1960,"Corporate","Office Clerks, General",4430600,19531.471614777296
1960,"Management in Business, Science, and Arts","Farmers, Ranchers, and Other Agricultural Managers",2975120,19510.306471509626
1960,"Production","Butchers and Other Meat, Poultry, and Fish Processing Workers",210160,31293.21994764398
1960,"Construction","Carpenters",1179320,27173.080625000002
1960,"Social Service","Police Officers and Detectives",284060,37086.25933384973
1960,"Corporate","Stock Clerks and Order Fillers",433060,22609.029654630358
1960,"Social Service","Personal Care and Service Workers, All Other",2258520,6257.215914023262
1960,"Social Service","Barbers",200740,27428.392038660822
1960,"Construction","Painters, Construction and Maintenance",514880,24497.908643606686
1960,"Corporate","Cashiers",827100,11156.797556340925
1960,"Production","Sewing Machine Operators",960260,11604.354203309298
1960,"Transportation and Material Moving","Material moving workers, nec",3672340,18634.901422837287
1960,"Construction","Electricians",399200,41277.6433775996
1960,"Transportation and Material Moving","Laborers and Freight, Stock, and Material Movers, Hand",134900,28996.362205074936
1960,"Social Service","Pharmacists",101000,54536.64248366013
1960,"Education, Training, and Library","Secondary School Teachers",622500,34158.855656617605
1960,"Installation, Maintenance, and Repair","Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers",1410160,32442.846340304182
1960,"Transportation and Material Moving","Taxi Drivers and Chauffeurs",193520,23243.96252843847
1960,"Production","Welding, Soldering, and Brazing Workers",421000,33824.53393595287
1960,"Construction","Cement Masons, Concrete Finishers, and Terrazzo Workers",54920,30379.918615664847
1960,"Transportation and Material Moving","Dredge, Excavating, and Loading Machine Operators",242320,35021.12899364319
1960,"Production","Rolling Machine Setters, Operators, and Tenders, metal and Plastic",34600,36896.967774566474
1960,"Installation, Maintenance, and Repair","Maintenance Workers, Machinery",93660,30165.372229340166
1960,"Production","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",186480,32544.889274989277
1960,"Business Operations Specialists","Wholesale and Retail Buyers, Except Farm Products",272500,46327.86436174117
1960,"Social Service","Nursing, Psychiatric, and Home Health Aides",65280,3319.403539550631
1960,"Building and Grounds Cleaning and Maintenance","Grounds Maintenance Workers",306380,13798.779116413214
1960,"Production","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",42880,39680.0421875
1960,"Construction","Roofers",61400,26057.10718943593
1960,"Farming, Fisheries, and Forestry","Agricultural workers, nec",2655920,6370.0870323654335
1960,"Production","First-Line Supervisors of Production and Operating Workers",1332580,45762.300842000994
1960,"Architecture and Engineering","Electrical and Electronics Engineers",193080,64180.44593390655
1960,"Production","Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",60460,30505.9854283824
1960,"Military","Military, Rank Not Specified",1786020,23102.01192153481
1960,"Production","Machinists",605240,36626.18250586718
1960,"Arts, Design, Entertainment, Sports, and Media","Photographers",59360,37798.955832771404
1960,"Food Preparation and Serving","Chefs and Cooks",858140,12712.872813541933
1960,"Community and Social Services","Religious Workers, nec",67540,13879.70053364957
1960,"Corporate","Secretaries and Administrative Assistants",2472980,16409.22194154421
1960,"Construction","Brickmasons, Blockmasons, and Stonemasons",239140,32000.774261815142
1960,"Corporate","Word Processors and Typists",1476020,13114.627087514238
1960,"Installation, Maintenance, and Repair","Computer, Automated Teller, and Office Machine Repairers",30680,36600.52982398957
1960,"Corporate","Telephone Operators",674240,13847.464214696978
1960,"Production","Packaging and Filling Machine Operators and Tenders",810020,12787.714919564089
1960,"Social Service","Registered Nurses",912720,16553.651141967865
1960,"Corporate","Bank Tellers",188460,19061.099607260374
1960,"Production","Painting Workers and Dyers",197540,25928.72959793397
1960,"Community and Social Services","Clergy",220020,28955.42685
1960,"Architecture and Engineering","Civil Engineers",173540,57225.896842226575
1960,"Social Service","Dentists",86820,89959.1350956001
1960,"Corporate","Postal Service Mail Carriers",242480,33977.03474834983
1960,"Life, Physical, and Social Science","Chemists and Materials Scientists",96740,49301.63481182796
1960,"Social Service","Entertainment Attendants and Related Workers, nec",130520,11812.90059322034
1960,"Financial Specialists","Accountants and Auditors",534680,46550.34888880575
1960,"Architecture and Engineering","Industrial Engineers, including Health and Safety",103060,59194.15089268387
